run_id,stage,label,pipe,side,time_h,flow_kg_s,outlet_K,replay_K,heat_MW
r3-v3-20260917T115348-b8a7a604/single-source-VF_CT-pg,2,initial subproblem / diagnostic,1,S,1.0,1.0096185811032488,352.49034101055975,352.4903410105598,0.15
r3-v3-20260917T115348-b8a7a604/single-source-VF_CT-pg,2,initial subproblem / diagnostic,1,R,1.0,1.0096185811032488,314.8902240946672,314.89022409466725,0.15
r3-v3-20260917T115348-b8a7a604/single-source-VF_CT-pg,2,initial subproblem / diagnostic,1,S,2.0,0.7355972160263597,352.39876933579785,352.39876933579774,0.15999999999999998
r3-v3-20260917T115348-b8a7a604/single-source-VF_CT-pg,2,initial subproblem / diagnostic,1,R,2.0,0.7355972160263597,312.39877780282876,312.3987778028288,0.15999999999999998
r3-v3-20260917T115348-b8a7a604/single-source-VF_CT-pg,2,initial subproblem / diagnostic,1,S,3.0,0.9883537832790655,352.3933446782858,352.39334467828587,0.17
r3-v3-20260917T115348-b8a7a604/single-source-VF_CT-pg,2,initial subproblem / diagnostic,1,R,3.0,0.9883537832790655,307.0270996086148,307.0270996086149,0.17
r3-v3-20260917T115348-b8a7a604/single-source-VF_CT-pg,2,initial subproblem / diagnostic,1,S,4.0,0.9595323840537666,352.47415724063586,352.474157240636,0.16
r3-v3-20260917T115348-b8a7a604/single-source-VF_CT-pg,2,initial subproblem / diagnostic,1,R,4.0,0.9595323840537666,311.91095047044064,311.9109504704407,0.16
r3-v3-20260917T115348-b8a7a604/single-source-VF_CT-pg,2,initial subproblem / diagnostic,1,S,5.0,1.0,352.47716079098166,352.4771607909816,0.16584923075045646
r3-v3-20260917T115348-b8a7a604/single-source-VF_CT-pg,2,initial subproblem / diagnostic,1,R,5.0,1.0,312.71285183119505,312.7128518311951,0.16584923075045646
r3-v3-20260917T115348-b8a7a604/single-source-VF_CT-pg,2,initial subproblem / diagnostic,1,S,6.0,1.0,352.4879120834421,352.4879120834421,0.1658492307504568
r3-v3-20260917T115348-b8a7a604/single-source-VF_CT-pg,2,initial subproblem / diagnostic,1,R,6.0,1.0,312.82930402781403,312.82930402781403,0.1658492307504568
r3-v3-20260917T115348-b8a7a604/single-source-VF_CT-pg,2,initial subproblem / diagnostic,1,S,7.0,1.0,352.4879120834421,352.4879120834421,0.1658492307504568
